Track,tr
Fuel,true,Tyre,false
Results posted 10 Dec 2023, 19:50
T Folger,5 Stellaron Hunter,36,1:35.507,+ 0:13.450,194.57,10
T Folger,5 Stellaron Hunter,37,1:34.549,+ 0:11.128,196.55,9
T Folger,5 Stellaron Hunter,38,1:35.905,-,193.77,1
T Folger,5 Stellaron Hunter,39,1:36.978,-,191.62,1
T Folger,5 Stellaron Hunter,40,1:52.298,+ 0:13.270,165.48,9
T Folger,5 Stellaron Hunter,PIT,2.8 seconds / Soft tyres,,,
T Folger,5 Stellaron Hunter,41,1:38.741,+ 0:15.043,188.20,13
T Folger,5 Stellaron Hunter,42,1:36.125,+ 0:12.376,193.32,11
T Folger,5 Stellaron Hunter,43,1:35.709,+ 0:12.162,194.16,11
T Folger,5 Stellaron Hunter,44,1:35.915,+ 0:11.976,193.75,11
T Folger,5 Stellaron Hunter,45,1:36.072,+ 0:11.624,193.43,8
T Folger,5 Stellaron Hunter,46,1:35.422,-,194.75,1
T Folger,5 Stellaron Hunter,47,1:36.643,-,192.29,1
T Folger,5 Stellaron Hunter,48,1:51.809,+ 0:10.872,166.20,7
T Folger,5 Stellaron Hunter,PIT,2.8 seconds / Super soft tyres,,,
T Folger,5 Stellaron Hunter,49,1:37.516,+ 0:12.334,190.57,9
T Folger,5 Stellaron Hunter,50,1:35.089,+ 0:11.579,195.43,8
T Folger,5 Stellaron Hunter,51,1:34.751,+ 0:10.715,196.13,8
T Folger,5 Stellaron Hunter,52,1:35.460,+ 0:10.289,194.67,6
T Folger,5 Stellaron Hunter,53,1:35.051,+ 0:09.187,195.51,5
T Folger,5 Stellaron Hunter,54,1:35.808,+ 0:09.248,193.96,5
D Girard,93 Brawn GP,START,Super soft tyres,,,5
D Girard,93 Brawn GP,1,1:42.808,+ 0:01.864,180.76,8
D Girard,93 Brawn GP,2,1:40.457,+ 0:03.558,184.99,9
D Girard,93 Brawn GP,3,1:38.337,+ 0:03.702,188.97,8
D Girard,93 Brawn GP,4,1:38.655,+ 0:03.685,188.37,8
